app_name,count,mean,std,min,25%,50%,75%,max
Amazon Mobile (Mobile App),828.0,119.50581847826085,84.11488427633665,30.0888,49.28175,86.5809,167.3595,357.8526
Amazon Music with Prime Music (Mobile App),126.0,147.70920000000004,122.79829577653396,32.2812,53.97839999999999,98.0343,210.8295,477.7164
Facebook (Mobile App),1910.0,2421.2289298429314,1683.694726052458,30.618000000000002,926.4874500000001,2307.0852,3681.78615,5995.2312
Facebook Messenger (Mobile App),1912.0,1396.553956380753,1138.9054914517321,30.618000000000002,428.6898,1172.6883,2101.0846500000002,4386.312
Google Play (Mobile App),1844.0,127.6553454989154,109.96601603075113,30.0132,53.51535,86.2407,162.72899999999998,601.7382
Google Search (Mobile App),1747.0,345.808226101889,365.27392287204873,30.0132,106.2747,219.7314,432.5265,1990.3968
GroupMe (Mobile App),92.0,131.11258695652177,86.11582229177144,30.5424,57.6828,102.9672,190.40805,329.994
Instagram (Mobile App),1092.0,465.3683653846154,447.5613405158784,30.0132,111.48165,252.44729999999998,728.8407,1724.3226
Kindle (Mobile App),129.0,344.9012651162791,397.40826967593586,30.9204,51.2568,168.399,482.895,1641.2382
Microsoft Word (Mobile App),36.0,50.13225,18.736311334571703,30.6558,34.93665,45.5679,56.4165,103.2318
Netflix (Mobile App),433.0,457.9155727482679,538.4049905043707,30.429000000000002,79.4934,207.5598,608.769,2393.0802
Outlook (Mobile App),211.0,195.71890521327015,152.7585321710566,30.1266,69.8733,129.6162,300.132,586.0512
Pinterest (Mobile App),533.0,211.73177110694186,172.3358708245638,30.3156,86.0706,133.434,314.1558,715.365
Sam's Club (Mobile App),2.0,50.084999999999994,11.332941803433036,42.0714,46.078199999999995,50.084999999999994,54.0918,58.0986
Sam's Club Scan & Go (Mobile App),7.0,42.487199999999994,10.28468005336092,33.641999999999996,37.4598,38.367,43.3566,63.7686
Snapchat (Mobile App),823.0,359.9851997569866,321.83043890885784,30.1266,113.4945,214.4016,537.327,1250.046
Tumblr (Mobile App),150.0,537.850908,552.3466035739995,30.3156,159.25140000000002,302.3055,733.3011,2255.2236
Walmart (Mobile App),301.0,70.68355116279069,35.70847700397074,30.051,40.0302,61.3494,91.7406,156.4164
Yahoo Mail (Mobile App),396.0,248.26199999999997,185.21139591516487,30.429000000000002,99.55574999999999,177.9435,376.4124,724.2858
Yahoo Newsroom (Mobile App),45.0,132.17148,105.41108346253813,30.0888,58.023,99.225,179.5878,432.0918
YouTube (Mobile App),1754.0,519.8122169897377,574.0119426368058,30.0888,110.29095000000001,262.7667,714.99645,2497.5216
